Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield,Cluster
"Rice, paddy",2339.3,17.7,84.54,25.76,26399,1
"Rice, paddy",2326.09,18.09,84.63,26.11,24686,1
"Rice, paddy",2718.08,18.3,85.43,26.12,25251,0
"Rice, paddy",2061.61,17.8,84.36,25.88,26251,1
"Rice, paddy",1934.62,17.94,83.43,26.21,27694,1
"Rice, paddy",2217.12,18.03,84.39,26.1,28178,1
"Rice, paddy",2249.7,18.01,84.24,26.11,29918,1
"Rice, paddy",2530.96,18.15,85.33,26.02,30348,0
"Rice, paddy",2504.7,18.19,85.45,26.02,30614,0
"Rice, paddy",2686.2,18.38,85.77,26.13,31619,0
"Rice, paddy",2414.79,18.18,85.76,25.93,32510,0
"Rice, paddy",1999.53,18.2,84.36,26.27,30676,2
"Rice, paddy",2362.8,18.7,84.03,26.79,28829,2
"Rice, paddy",2792.95,18.24,86.04,25.95,29415,0
"Rice, paddy",2751.24,18.31,85.98,26.02,30640,0
"Rice, paddy",2646.28,18.4,86.02,26.1,31101,0
"Rice, paddy",2302.99,18.22,84.48,26.25,32385,2
"Rice, paddy",2692.34,18.37,85.54,26.18,33596,0
"Rice, paddy",2424.55,18.28,85.16,26.18,33260,0
"Rice, paddy",2363.63,18.35,84.92,26.28,34221,2
"Rice, paddy",2892.78,18.49,86.09,26.18,33907,0
"Rice, paddy",2729.53,18.41,86.03,26.11,35277,0
"Rice, paddy",3085.79,18.34,86.1,26.03,35836,0
"Rice, paddy",2922.18,18.43,85.51,26.23,37205,0
"Rice, paddy",2546.33,18.43,84.23,26.49,36361,2
"Rice, paddy",2938.29,18.22,85.42,26.06,37468,0
"Rice, paddy",2771.73,18.38,84.98,26.3,37972,0
"Rice, paddy",2607.96,18.37,84.67,26.35,38763,2
"Rice, paddy",2604.59,18.19,83.44,26.43,29855,2
"Rice, paddy",2308.51,18.27,83.65,26.47,40223,2
"Rice, paddy",2410.13,18.58,83.45,26.81,39775,2
"Rice, paddy",2967.41,18.67,85.48,26.46,37496,0
"Rice, paddy",2333.46,18.5,84.85,26.43,37704,2
"Rice, paddy",2109.34,18.51,83.52,26.72,42550,2
"Rubber, natural",2248.92,17.72,83.4,26.01,9322,1
"Rubber, natural",1938.42,17.54,82.11,26.11,9223,1
"Rubber, natural",2301.54,17.81,82.79,26.24,9866,1
"Rubber, natural",2592.35,17.61,85.07,25.56,9718,1
"Rubber, natural",2344.72,17.61,84.12,25.76,9573,1
"Rubber, natural",2339.3,17.7,84.54,25.76,10024,1
"Rubber, natural",2326.09,18.09,84.63,26.11,10285,1
"Rubber, natural",2718.08,18.3,85.43,26.12,10010,0
"Rubber, natural",2061.61,17.8,84.36,25.88,8604,1
"Rubber, natural",1934.62,17.94,83.43,26.21,8002,1
"Rubber, natural",2217.12,18.03,84.39,26.1,6913,1
"Rubber, natural",2249.7,18.01,84.24,26.11,6546,1
"Rubber, natural",2530.96,18.15,85.33,26.02,6077,0
"Rubber, natural",2504.7,18.19,85.45,26.02,6333,0
"Rubber, natural",2686.2,18.38,85.77,26.13,6448,0
"Rubber, natural",2414.79,18.18,85.76,25.93,6562,0
"Rubber, natural",1999.53,18.2,84.36,26.27,6008,2
"Rubber, natural",2362.8,18.7,84.03,26.79,5693,2
"Rubber, natural",2792.95,18.24,86.04,25.95,5249,0
"Rubber, natural",2751.24,18.31,85.98,26.02,6484,0
"Rubber, natural",2646.28,18.4,86.02,26.1,6348,0
"Rubber, natural",2302.99,18.22,84.48,26.25,6597,2
"Rubber, natural",2692.34,18.37,85.54,26.18,7435,0
"Rubber, natural",2424.55,18.28,85.16,26.18,9139,0
"Rubber, natural",2363.63,18.35,84.92,26.28,8857,2
"Rubber, natural",2892.78,18.49,86.09,26.18,10159,0
"Rubber, natural",2729.53,18.41,86.03,26.11,9612,0
"Rubber, natural",3085.79,18.34,86.1,26.03,8599,0
"Rubber, natural",2922.18,18.43,85.51,26.23,8337,0
"Rubber, natural",2546.33,18.43,84.23,26.49,9205,2
"Rubber, natural",2938.29,18.22,85.42,26.06,9701,0
"Rubber, natural",2771.73,18.38,84.98,26.3,8865,0
"Rubber, natural",2607.96,18.37,84.67,26.35,7817,2
"Rubber, natural",2604.59,18.19,83.44,26.43,6275,2
"Rubber, natural",2308.51,18.27,83.65,26.47,6721,2
"Rubber, natural",2410.13,18.58,83.45,26.81,6248,2
"Rubber, natural",2967.41,18.67,85.48,26.46,6842,0
"Rubber, natural",2333.46,18.5,84.85,26.43,5571,2
"Rubber, natural",2109.34,18.51,83.52,26.72,5903,2
